Genotype,Yield - 2021 LA1,Plant Height - 2021 LA1,Yield - 2021 LA2,Plant Height - 2021 LA2,Yield - 2022 LA1,Plant Height - 2022 LA1,Yield - 2022 LA2,Plant Height - 2022 LA2,Yield - 2021 AR,Plant Height - 2021 AR,Yield - 2022 AR,Plant Height - 2022 AR,Mean Yield - Across LA & AR,Mean Plant Height - Across LA & AR
MP6_307,9175.456587,95.39293036,8691.061152,98.59911802,9777.735342,97.35554033,8139.924208,90.62904463,10338.05371,100.2361726,8775.469015,101.6794086,9182.119005,97.43895127
MP8_092,8222.629618,93.33770126,7742.742074,95.09641293,,,,,9665.952319,85.92117342,,,8340.113397,90.59530192
MP8_419,8177.130608,99.52972993,7546.889335,105.760566,7845.284092,101.4554868,7436.445658,90.04718993,9957.915303,101.1687482,8138.611134,103.9914694,8216.216478,100.4961251
MP6_305,8756.384796,91.31844874,8631.818926,88.62978081,,,,,9897.95449,96.07965107,,,8891.705124,91.15291892
MP8_185,8089.420427,105.4404108,7400.468994,109.5197353,7562.91822,100.9714595,7490.123225,94.3877315,,,7974.281317,112.343518,7877.649954,105.2255826
MP6_364,8236.070955,85.32773941,6852.228543,93.72138606,8733.434574,87.22221699,7944.119576,89.66763008,9122.412466,89.17744811,7615.743228,89.43242558,8116.509423,89.21690213
MP8_021,9618.513355,92.77814496,7959.296356,101.1282922,,,,,9611.080622,98.40721575,,,8859.296411,96.58148835
MP8_031,8491.139149,101.9016782,8465.15676,105.8052589,,,,,10496.64432,100.9684762,,,8947.313832,102.0354157
MP8_035,9898.450246,101.9291937,7522.420075,106.1578037,8591.736691,95.95265695,8575.737279,95.34772155,10511.31744,108.0575959,8124.670139,106.7225265,8903.218954,102.4884475
MP8_096,7678.026766,91.97277852,7867.990065,96.09285606,8454.962468,92.50966073,6841.041148,81.95716468,9192.561177,95.44042034,7809.38717,98.88170047,8006.501298,92.90537074
MP8_110,7971.604191,94.39415409,9048.327417,99.85646934,,,,,10068.19745,93.78963338,,,8825.722242,95.15694061
MP8_119,9359.085006,98.95702139,8603.844657,101.2278687,10408.69247,98.70357855,9087.186852,99.7429831,9508.490336,105.6562934,8629.848056,111.4222161,9298.693195,102.7194091
